Ice Moon,Cashback Ice Moon,28639,http://action.metaffiliation.com/suivi.php?mclic=S46FDF44DAA131&argsite={userid},5%,5% par achat,merc158,1,5
IDZif,Cashback IDZif,11739,"http://action.metaffiliation.com/suivi.php?mclic=S42DDB44DAA113""&argsite={userid}",6%,6% par achat,merc159,1,6
IKEA,Cashback IKEA,25675,http://action.metaffiliation.com/suivi.php?mclic=S4644B44DAA131&argsite={userid},7€,7€ par achat,merc160,0,7
Inderwear,Cashback Inderwear,17409,http://action.metaffiliation.com/suivi.php?mclic=S4440144DAA131&argsite={userid},7.5%,"7,5% par achat",merc161,1,7.5
INFO PRESSE,Cashback INFO PRESSE,1099,http://action.metaffiliation.com/suivi.php?mclic=S344B44DAA111&argsite={userid},0.15€,0.15 par achat,merc162,0,15
Inmac Wstore,Cashback Inmac Wstore,6046,http://action.metaffiliation.com/suivi.php?mclic=S4179E44DAA122&argsite={userid},1.25%,"1,25% par achat",merc163,1,1.25
I-Run,Cashback I-Run,22315,http://action.metaffiliation.com/suivi.php?mclic=S4572B44DAA141&argsite={userid},3%,3%par achat,merc164,1,3
IXTEM MOTO,Cashback IXTEM MOTO,2421,http://action.metaffiliation.com/suivi.php?mclic=S397544DAA131&argsite={userid},5%,5% par achat,merc166,1,5
J’aime bébé,Cashback J’aime bébé,26835,http://action.metaffiliation.com/suivi.php?mclic=S468D344DAA161&argsite={userid},4.2%,4.2% par achat,merc167,1,4.2
Jardin du pic vert,Cashback Jardin du pic vert,14783,http://action.metaffiliation.com/suivi.php?mclic=S439BF44DAA111&argsite={userid},3%,3% par achat,merc168,1,3
Jardins Animés,Cashback Jardins Animés,5484,http://action.metaffiliation.com/suivi.php?mclic=S4156C44DAA111&argsite={userid},3.5%,"3,5%par achat",merc169,1,3.5
Jardindeco.com,Cashback Jardindeco.com,7068,http://action.metaffiliation.com/suivi.php?mclic=S41B9C44DAA111&argsite={userid},4%,4%  par achat,merc170,1,4
Jardinerie Pasero,Cashback Jardinerie Pasero,7100,http://action.metaffiliation.com/suivi.php?mclic=S41BBC44DAA1B1&argsite={userid},6%,6% par achat,merc171,1,6
